"","R2","F","p_value","mean_permdisp_RUNA.Shallow","mean_permdisp_P50A.Deep","p_disp1","p_disp2","samples"
"264","0.426364931021193","11.8922974993203","0.002","0.202097486710775","0.266829206047053","0.205423850047318",NA,"RUNARMS5A, RUNARMS6A, RUNARMS2A, RUNARMS6B, RUNARMS9B, RUNARMS2A, RUNARMS1C, RUNARMS6C, RUNARMS3C, P50ARMS1A, P50ARMS1B, P50ARMS1C, P50ARMS2A, P50ARMS2B, P50ARMS2C, P50ARMS3A, P50ARMS3B, P50ARMS3C"
"265","0.403487073581561","10.8225536973132","0.001","0.220762073154498","0.272999020695168","0.258972823920415",NA,"RUNARMS2A, RUNARMS5B, RUNARMS5C, RUNARMS5C, RUNARMS1B, RUNARMS8B, RUNARMS2C, RUNARMS9A, RUNARMS6B, P50ARMS1A, P50ARMS1B, P50ARMS1C, P50ARMS2A, P50ARMS2B, P50ARMS2C, P50ARMS3A, P50ARMS3B, P50ARMS3C"
"266","0.45009701469283","13.0960413518442","0.001","0.200899950088723","0.273356580501157","0.101367667892946",NA,"RUNARMS3A, RUNARMS3B, RUNARMS6C, RUNARMS2C, RUNARMS6A, RUNARMS3C, RUNARMS3A, RUNARMS1A, RUNARMS1C, P50ARMS1A, P50ARMS1B, P50ARMS1C, P50ARMS2A, P50ARMS2B, P50ARMS2C, P50ARMS3A, P50ARMS3B, P50ARMS3C"
"267","0.418905153262088","11.5342314422836","0.001","0.200866229534804","0.270188764984283","0.122065501438104",NA,"RUNARMS5A, RUNARMS4A, RUNARMS4C, RUNARMS7B, RUNARMS6B, RUNARMS1C, RUNARMS6C, RUNARMS3C, RUNARMS3C, P50ARMS1A, P50ARMS1B, P50ARMS1C, P50ARMS2A, P50ARMS2B, P50ARMS2C, P50ARMS3A, P50ARMS3B, P50ARMS3C"
"268","0.399115948870475","10.6274333125062","0.001","0.212390013927338","0.271769174326168","0.157964982604582",NA,"RUNARMS2B, RUNARMS1B, RUNARMS3C, RUNARMS9A, RUNARMS7A, RUNARMS9C, RUNARMS3C, RUNARMS3C, RUNARMS4A, P50ARMS1A, P50ARMS1B, P50ARMS1C, P50ARMS2A, P50ARMS2B, P50ARMS2C, P50ARMS3A, P50ARMS3B, P50ARMS3C"
"269","0.400860389541031","10.7049611153956","0.001","0.211524112598366","0.268859143417685","0.217026328940248",NA,"RUNARMS6C, RUNARMS6B, RUNARMS3A, RUNARMS2A, RUNARMS4A, RUNARMS5C, RUNARMS3C, RUNARMS9B, RUNARMS4B, P50ARMS1A, P50ARMS1B, P50ARMS1C, P50ARMS2A, P50ARMS2B, P50ARMS2C, P50ARMS3A, P50ARMS3B, P50ARMS3C"
"270","0.419635947701495","11.5689025476901","0.001","0.228452721108111","0.269393392327655","0.370843660788574",NA,"RUNARMS6A, RUNARMS7C, RUNARMS5C, RUNARMS9A, RUNARMS2B, RUNARMS6B, RUNARMS8B, RUNARMS8B, RUNARMS5A, P50ARMS1A, P50ARMS1B, P50ARMS1C, P50ARMS2A, P50ARMS2B, P50ARMS2C, P50ARMS3A, P50ARMS3B, P50ARMS3C"
"271","0.409638960398091","11.1020594631195","0.001","0.2344964337067","0.271772271469477","0.449282511718763",NA,"RUNARMS8B, RUNARMS3B, RUNARMS9A, RUNARMS3B, RUNARMS9B, RUNARMS1C, RUNARMS8A, RUNARMS1B, RUNARMS2A, P50ARMS1A, P50ARMS1B, P50ARMS1C, P50ARMS2A, P50ARMS2B, P50ARMS2C, P50ARMS3A, P50ARMS3B, P50ARMS3C"
"272","0.413815566743532","11.2951635906027","0.001","0.218085707791851","0.26312014532012","0.305407588535338",NA,"RUNARMS3A, RUNARMS7C, RUNARMS3A, RUNARMS7C, RUNARMS5C, RUNARMS6C, RUNARMS1C, RUNARMS8C, RUNARMS3C, P50ARMS1A, P50ARMS1B, P50ARMS1C, P50ARMS2A, P50ARMS2B, P50ARMS2C, P50ARMS3A, P50ARMS3B, P50ARMS3C"
"273","0.432138094689098","12.1758643260989","0.001","0.216194650968766","0.274309144450858","0.193172968451859",NA,"RUNARMS9C, RUNARMS9B, RUNARMS5C, RUNARMS4C, RUNARMS8C, RUNARMS2C, RUNARMS8C, RUNARMS8B, RUNARMS2B, P50ARMS1A, P50ARMS1B, P50ARMS1C, P50ARMS2A, P50ARMS2B, P50ARMS2C, P50ARMS3A, P50ARMS3B, P50ARMS3C"
"274","0.434122908137991","12.274691147776","0.002","0.210508179866337","0.27412699481684","0.15988244385283",NA,"RUNARMS2C, RUNARMS5B, RUNARMS9B, RUNARMS4A, RUNARMS9A, RUNARMS3A, RUNARMS9C, RUNARMS6A, RUNARMS2C, P50ARMS1A, P50ARMS1B, P50ARMS1C, P50ARMS2A, P50ARMS2B, P50ARMS2C, P50ARMS3A, P50ARMS3B, P50ARMS3C"
"275","0.442270589846926","12.6877466182188","0.001","0.194516360323038","0.272398575858359","0.0851020009684557",NA,"RUNARMS2B, RUNARMS2A, RUNARMS1B, RUNARMS2C, RUNARMS6C, RUNARMS8C, RUNARMS6A, RUNARMS1C, RUNARMS9A, P50ARMS1A, P50ARMS1B, P50ARMS1C, P50ARMS2A, P50ARMS2B, P50ARMS2C, P50ARMS3A, P50ARMS3B, P50ARMS3C"
"276","0.462400159482569","13.7619135909718","0.001","0.168654541657757","0.26494292946777","0.0384913675479863",NA,"RUNARMS3A, RUNARMS5C, RUNARMS3A, RUNARMS3B, RUNARMS3A, RUNARMS7B, RUNARMS4C, RUNARMS6A, RUNARMS4B, P50ARMS1A, P50ARMS1B, P50ARMS1C, P50ARMS2A, P50ARMS2B, P50ARMS2C, P50ARMS3A, P50ARMS3B, P50ARMS3C"
"277","0.416071054953304","11.4005940889272","0.001","0.226894543982871","0.279835054243964","0.230781353007195",NA,"RUNARMS9B, RUNARMS7C, RUNARMS3A, RUNARMS2C, RUNARMS7C, RUNARMS4C, RUNARMS3C, RUNARMS1A, RUNARMS4A, P50ARMS1A, P50ARMS1B, P50ARMS1C, P50ARMS2A, P50ARMS2B, P50ARMS2C, P50ARMS3A, P50ARMS3B, P50ARMS3C"
"278","0.418978768839298","11.5377200382797","0.002","0.222085009557498","0.279373586544617","0.250075953925734",NA,"RUNARMS3C, RUNARMS2B, RUNARMS1C, RUNARMS2A, RUNARMS8C, RUNARMS4A, RUNARMS8B, RUNARMS2C, RUNARMS2C, P50ARMS1A, P50ARMS1B, P50ARMS1C, P50ARMS2A, P50ARMS2B, P50ARMS2C, P50ARMS3A, P50ARMS3B, P50ARMS3C"
"279","0.396119060743749","10.4952889881006","0.001","0.213951448499606","0.267392425729768","0.222416218109038",NA,"RUNARMS6A, RUNARMS3C, RUNARMS7C, RUNARMS2A, RUNARMS5B, RUNARMS1B, RUNARMS3A, RUNARMS5C, RUNARMS6C, P50ARMS1A, P50ARMS1B, P50ARMS1C, P50ARMS2A, P50ARMS2B, P50ARMS2C, P50ARMS3A, P50ARMS3B, P50ARMS3C"
