"","R2","F","p_value","mean_permdisp_Reunion.Reunion","mean_permdisp_Rodrigues.Rodrigues","p_disp1","p_disp2","samples"
"276","0.292043978105221","6.1877567759843","0.001","0.302681710973832","0.355387798659726","0.0632270350633824",NA,"RUNARMS9B, RUNARMS8B, RUNARMS4B, RUNARMS6C, RUNARMS2C, RUNARMS3C, RUNARMS1A, RUNARMS6A, RUNARMS2B, RODARMS1A, RODARMS1B, RODARMS1C, RODARMS2A, RODARMS2B, RODARMS2C, RODARMS3A, RODARMS3B"
"277","0.297235010056404","6.34426190070155","0.001","0.306835336272028","0.355387798660651","0.0972682475390427",NA,"RUNARMS9B, RUNARMS4C, RUNARMS7C, RUNARMS7A, RUNARMS3A, RUNARMS3B, RUNARMS5A, RUNARMS6A, RUNARMS1A, RODARMS1A, RODARMS1B, RODARMS1C, RODARMS2A, RODARMS2B, RODARMS2C, RODARMS3A, RODARMS3B"
"278","0.290862565693134","6.15245828851427","0.002","0.316103414584155","0.355387798659712","0.106714016793469",NA,"RUNARMS4A, RUNARMS6C, RUNARMS2C, RUNARMS4C, RUNARMS6A, RUNARMS9B, RUNARMS1A, RUNARMS8C, RUNARMS8A, RODARMS1A, RODARMS1B, RODARMS1C, RODARMS2A, RODARMS2B, RODARMS2C, RODARMS3A, RODARMS3B"
"279","0.288742987578924","6.08942300468983","0.001","0.319691561200706","0.355387798713609","0.203126811279181",NA,"RUNARMS9A, RUNARMS1A, RUNARMS4B, RUNARMS5C, RUNARMS6C, RUNARMS4A, RUNARMS2B, RUNARMS8A, RUNARMS6A, RODARMS1A, RODARMS1B, RODARMS1C, RODARMS2A, RODARMS2B, RODARMS2C, RODARMS3A, RODARMS3B"
"280","0.310592706325841","6.75782028655123","0.001","0.299187248525569","0.355387799066757","0.0382698430940957",NA,"RUNARMS1A, RUNARMS5B, RUNARMS6B, RUNARMS9C, RUNARMS9A, RUNARMS1C, RUNARMS5C, RUNARMS3C, RUNARMS7B, RODARMS1A, RODARMS1B, RODARMS1C, RODARMS2A, RODARMS2B, RODARMS2C, RODARMS3A, RODARMS3B"
"281","0.304017075069577","6.55225288249643","0.001","0.298915888870894","0.355387798659706","0.0554612728059348",NA,"RUNARMS7B, RUNARMS3C, RUNARMS7A, RUNARMS2C, RUNARMS1A, RUNARMS7C, RUNARMS9C, RUNARMS8C, RUNARMS4C, RODARMS1A, RODARMS1B, RODARMS1C, RODARMS2A, RODARMS2B, RODARMS2C, RODARMS3A, RODARMS3B"
"282","0.303593762709067","6.53915228897291","0.001","0.295221556276953","0.355387798659706","0.0501335608231052",NA,"RUNARMS7C, RUNARMS4B, RUNARMS2A, RUNARMS3C, RUNARMS8B, RUNARMS7A, RUNARMS1A, RUNARMS9B, RUNARMS5A, RODARMS1A, RODARMS1B, RODARMS1C, RODARMS2A, RODARMS2B, RODARMS2C, RODARMS3A, RODARMS3B"
"283","0.306480172931305","6.62879764144681","0.001","0.289810389058646","0.355387799291836","0.0241371814171429",NA,"RUNARMS1B, RUNARMS5A, RUNARMS9A, RUNARMS3C, RUNARMS7B, RUNARMS9B, RUNARMS8C, RUNARMS8B, RUNARMS7A, RODARMS1A, RODARMS1B, RODARMS1C, RODARMS2A, RODARMS2B, RODARMS2C, RODARMS3A, RODARMS3B"
"284","0.294387321313663","6.25812142140926","0.001","0.316829098037148","0.355387798659706","0.123058917610932",NA,"RUNARMS3B, RUNARMS5A, RUNARMS2A, RUNARMS6A, RUNARMS3A, RUNARMS5B, RUNARMS1A, RUNARMS8C, RUNARMS1C, RODARMS1A, RODARMS1B, RODARMS1C, RODARMS2A, RODARMS2B, RODARMS2C, RODARMS3A, RODARMS3B"
"285","0.264975271392211","5.40747666872586","0.001","0.32843944291258","0.355387799022436","0.308635302180657",NA,"RUNARMS1A, RUNARMS8A, RUNARMS6A, RUNARMS3A, RUNARMS2B, RUNARMS5A, RUNARMS6C, RUNARMS8C, RUNARMS7B, RODARMS1A, RODARMS1B, RODARMS1C, RODARMS2A, RODARMS2B, RODARMS2C, RODARMS3A, RODARMS3B"
"286","0.290974212553305","6.15578906377607","0.001","0.313683614653132","0.355387798659706","0.125214413724542",NA,"RUNARMS9B, RUNARMS5A, RUNARMS2C, RUNARMS8B, RUNARMS8A, RUNARMS3B, RUNARMS9C, RUNARMS1C, RUNARMS6C, RODARMS1A, RODARMS1B, RODARMS1C, RODARMS2A, RODARMS2B, RODARMS2C, RODARMS3A, RODARMS3B"
"287","0.285205063047167","5.98503951908909","0.001","0.316932302097727","0.355387798659706","0.198452488480847",NA,"RUNARMS8C, RUNARMS9B, RUNARMS9A, RUNARMS8A, RUNARMS3A, RUNARMS5A, RUNARMS6A, RUNARMS1B, RUNARMS7A, RODARMS1A, RODARMS1B, RODARMS1C, RODARMS2A, RODARMS2B, RODARMS2C, RODARMS3A, RODARMS3B"
