"","date","RUNA1","RUNA5","RUNA9"
"1","2021-11-26","27.02362","26.76287","26.55998"
"2","2021-11-27","27.04486","26.80828","26.44499"
"3","2021-11-28","27.14814","26.7658","26.4384"
"4","2021-11-29","27.18842","26.73064","26.35929"
"5","2021-11-30","27.35762","27.00751","26.3798"
"6","2021-12-01","27.30634","26.93793","26.31681"
"7","2021-12-02","27.42793","27.0163","26.1652"
"8","2021-12-03","27.76998","27.36641","26.27067"
"9","2021-12-04","28.09152","27.85495","26.92401"
"10","2021-12-05","28.14133","28.06442","27.11444"
"11","2021-12-06","28.13034","27.88131","27.04486"
"12","2021-12-07","27.98679","27.74581","27.01044"
"13","2021-12-08","27.83297","27.56343","26.92181"
"14","2021-12-09","27.80148","27.66231","26.89471"
"15","2021-12-10","27.759","27.57808","26.87347"
"16","2021-12-11","27.68062","27.44478","26.79876"
"17","2021-12-12","27.71285","27.5041","26.74822"
"18","2021-12-13","27.51729","27.17451","26.61785"
"19","2021-12-14","27.80075","27.49458","26.54314"
"20","2021-12-15","27.65206","27.4294","26.47063"
"21","2021-12-16","27.81539","27.60152","26.52995"
"22","2021-12-17","27.65059","27.5356","26.74456"
"23","2021-12-18","27.74581","27.70479","27.40303"
"24","2021-12-19","27.73483","27.69747","27.38252"
"25","2021-12-20","27.78317","27.67403","27.32539"
"26","2021-12-21","27.76925","27.5605","27.30708"
"27","2021-12-22","27.67916","27.76119","27.0954"
"28","2021-12-23","27.71944","27.66817","27.93698"
"29","2021-12-24","27.87472","27.80075","27.89157"
"30","2021-12-25","27.81832","27.74874","27.5378"
"31","2021-12-26","27.85275","27.82711","27.54"
"32","2021-12-27","27.77364","27.56124","27.26313"
"33","2021-12-28","27.99924","27.65133","27.12909"
"34","2021-12-29","27.78536","27.51289","26.85589"
"35","2021-12-30","27.73556","27.59932","27.01337"
"36","2021-12-31","27.96701","27.77438","27.17963"
"37","2022-01-01","27.92233","27.79782","27.31294"
"38","2022-01-02","27.95016","27.83151","27.54366"
"39","2022-01-03","28.1091","28.02634","27.52974"
"40","2022-01-04","28.32884","28.25047","27.57881"
"41","2022-01-05","28.55663","28.31931","27.73849"
"42","2022-01-06","28.49583","28.32884","28.0278"
"43","2022-01-07","28.11057","28.01315","27.80441"
"44","2022-01-08","28.43431","28.35594","28.04245"
"45","2022-01-09","28.56249","28.45189","28.03366"
"46","2022-01-10","28.13987","28.22996","27.92673"
"47","2022-01-11","27.99045","28.08054","27.92599"
"48","2022-01-12","28.09226","28.13474","27.98093"
"49","2022-01-13","28.25193","28.45115","28.08933"
"50","2022-01-14","28.01315","27.99557","28.04538"
"51","2022-01-15","28.03952","27.98898","28.24314"
"52","2022-01-16","28.14133","28.14719","28.45189"
"53","2022-01-17","28.20359","28.18967","28.67309"
"54","2022-01-18","28.15745","28.13547","28.29002"
"55","2022-01-19","28.43065","28.4116","28.28636"
