"","name","arms","campain","triplicat","plate_number","orientation","open_close","site_names","island","comb","orientation_type"
"52","RODARMS3_07U","RODARMS1C","RODARMS","RODARMS1","7","T","o","Rivière_Banane","Rodrigues","7To","T_o"
"53","RODARMS3_08D","RODARMS1C","RODARMS","RODARMS1","8","B","o","Rivière_Banane","Rodrigues","8Bo","B_o"
"54","RODARMS3_08U","RODARMS1C","RODARMS","RODARMS1","8","T","c","Rivière_Banane","Rodrigues","8Tc","T_c"
"55","RODARMS3_09D","RODARMS1C","RODARMS","RODARMS1","9","B","c","Rivière_Banane","Rodrigues","9Bc","B_c"
"56","RODARMS3_09U","RODARMS1C","RODARMS","RODARMS1","9","T","o","Rivière_Banane","Rodrigues","9To","T_o"
"57","RODARMS3_10D","RODARMS1C","RODARMS","RODARMS1","10","B","o","Rivière_Banane","Rodrigues","10Bo","B_o"
"61","RODARMS4_02U","RODARMS2A","RODARMS","RODARMS2","2","T","c","Ile_aux_Fous","Rodrigues","2Tc","T_c"
"62","RODARMS4_03D","RODARMS2A","RODARMS","RODARMS2","3","B","c","Ile_aux_Fous","Rodrigues","3Bc","B_c"
"63","RODARMS4_03U","RODARMS2A","RODARMS","RODARMS2","3","T","o","Ile_aux_Fous","Rodrigues","3To","T_o"
"64","RODARMS4_04D","RODARMS2A","RODARMS","RODARMS2","4","B","o","Ile_aux_Fous","Rodrigues","4Bo","B_o"
"65","RODARMS4_04U","RODARMS2A","RODARMS","RODARMS2","4","T","c","Ile_aux_Fous","Rodrigues","4Tc","T_c"
"66","RODARMS4_05D","RODARMS2A","RODARMS","RODARMS2","5","B","c","Ile_aux_Fous","Rodrigues","5Bc","B_c"
"67","RODARMS4_05U","RODARMS2A","RODARMS","RODARMS2","5","T","o","Ile_aux_Fous","Rodrigues","5To","T_o"
"68","RODARMS4_06D","RODARMS2A","RODARMS","RODARMS2","6","B","o","Ile_aux_Fous","Rodrigues","6Bo","B_o"
"69","RODARMS4_06U","RODARMS2A","RODARMS","RODARMS2","6","T","c","Ile_aux_Fous","Rodrigues","6Tc","T_c"
"70","RODARMS4_07D","RODARMS2A","RODARMS","RODARMS2","7","B","c","Ile_aux_Fous","Rodrigues","7Bc","B_c"
"71","RODARMS4_07U","RODARMS2A","RODARMS","RODARMS2","7","T","o","Ile_aux_Fous","Rodrigues","7To","T_o"
