"","T_1A","T_1B","T_2A","T_2B","T_3A","T_3B"
"2021-11-26",25.2003392857143,25.2293452380952,25.0310238095238,25.0464345238095,24.6504226190476,24.6290952380952
"2021-11-27",25.439505952381,25.469869047619,25.1118511904762,25.130880952381,24.5431071428571,24.5246666666667
"2021-11-28",25.6805178571429,25.7127797619048,25.2956071428571,25.3188511904762,24.5953928571429,24.5822857142857
"2021-11-29",25.787,25.8200238095238,25.4157738095238,25.4377380952381,24.674,24.661625
"2021-11-30",25.783380952381,25.8158154761905,25.481369047619,25.5069523809524,24.6999285714286,24.6876845238095
"2021-12-01",25.7859523809524,25.8162202380952,25.4775892857143,25.5004404761905,24.723255952381,24.7066964285714
"2021-12-02",25.7098511904762,25.732744047619,25.4151785714286,25.4364404761905,24.7367559523809,24.717744047619
"2021-12-03",25.6003095238095,25.629994047619,25.3086666666667,25.3283214285714,24.7283035714286,24.709005952381
"2021-12-04",25.4963154761905,25.5219285714286,25.1552619047619,25.171,24.6777797619048,24.6567678571429
"2021-12-05",25.3737321428571,25.4019523809524,25.0021785714286,25.0118452380952,24.5348214285714,24.5119464285714
"2021-12-06",25.2914821428571,25.3181071428571,24.8763035714286,24.8853571428571,24.3827738095238,24.3613273809524
"2021-12-07",25.302375,25.328875,24.7180357142857,24.7230416666667,24.280625,24.2602023809524
"2021-12-08",25.295869047619,25.3187857142857,24.6461726190476,24.6534761904762,24.1996845238095,24.1837321428571
"2021-12-09",25.3572321428571,25.38775,24.6527797619048,24.6579166666667,24.0936130952381,24.0786785714286
"2021-12-10",25.46025,25.491994047619,24.6130297619048,24.6181726190476,24.000869047619,23.9877916666667
"2021-12-11",25.4065892857143,25.440369047619,24.5448928571429,24.5503154761905,23.9301666666667,23.9168095238095
"2021-12-12",25.2825178571429,25.3130833333333,24.4461547619048,24.454875,23.8736964285714,23.860625
"2021-12-13",25.1855535714286,25.2102202380952,24.3766607142857,24.3869880952381,23.8652023809524,23.8475476190476
"2021-12-14",24.9200952380952,24.941125,24.3691428571429,24.3845238095238,23.9245535714286,23.8987261904762
"2021-12-15",24.6965535714286,24.721,24.2566785714286,24.2708988095238,23.8746607142857,23.8522738095238
"2021-12-16",24.5927261904762,24.6186785714286,24.2340357142857,24.249,23.8528333333333,23.8290238095238
"2021-12-17",24.5171369047619,24.5357797619048,24.4257797619048,24.433494047619,23.9863928571429,23.9630238095238
"2021-12-18",24.3542321428571,24.3718214285714,24.5708154761905,24.5726428571429,24.1740119047619,24.152625
"2021-12-19",24.2245119047619,24.2363273809524,24.6942321428571,24.6957976190476,24.2457797619048,24.2272857142857
"2021-12-20",24.2290595238095,24.2484642857143,24.7988214285714,24.7955892857143,24.3561011904762,24.3340654761905
"2021-12-21",24.4198988095238,24.444369047619,24.8511309523809,24.8470416666667,24.3927857142857,24.3783333333333
"2021-12-22",24.683494047619,24.7075476190476,25.0831488095238,25.0764880952381,24.4763452380952,24.4597380952381
"2021-12-23",24.9258035714286,24.950630952381,25.2065119047619,25.2023035714286,24.5482976190476,24.535119047619
"2021-12-24",25.1385357142857,25.1658333333333,25.202494047619,25.2065595238095,24.5253928571429,24.5073154761905
"2021-12-25",25.551625,25.5789821428571,25.303880952381,25.3132797619048,24.5208869047619,24.5048333333333
"2021-12-26",25.9602678571429,25.9935952380952,25.3672261904762,25.3773154761905,24.5638154761905,24.5461607142857
"2021-12-27",26.2528988095238,26.284125,25.5358333333333,25.550875,24.6089047619048,24.5839166666667
"2021-12-28",26.5362142857143,26.5581964285714,25.7322023809524,25.7436666666667,24.734994047619,24.7086964285714
"2021-12-29",26.5886785714286,26.6185059523809,25.8086369047619,25.8215178571429,24.8825119047619,24.8450714285714
"2021-12-30",26.5905535714286,26.6157202380952,25.9325416666667,25.9442202380952,25.1043095238095,25.0697619047619
"2021-12-31",26.6420714285714,26.6777738095238,26.0599523809524,26.0688869047619,25.2295416666667,25.1967380952381
"2022-01-01",26.5856369047619,26.624244047619,26.121005952381,26.1313869047619,25.3551488095238,25.3175595238095
"2022-01-02",26.6199702380952,26.6561071428571,26.2615119047619,26.2715357142857,25.4899821428571,25.4532678571429
"2022-01-03",26.6637857142857,26.7028214285714,26.2837142857143,26.2851726190476,25.4921845238095,25.4693452380952
"2022-01-04",26.7589464285714,26.8045416666667,26.356369047619,26.3605773809524,25.6135238095238,25.5918511904762
"2022-01-05",26.9495892857143,26.9900178571429,26.5376785714286,26.5371011904762,25.8658095238095,25.8445297619048
"2022-01-06",27.0789404761905,27.1206904761905,26.6769583333333,26.6767380952381,26.1192380952381,26.0814702380952
"2022-01-07",27.1406488095238,27.1743630952381,26.783875,26.7859880952381,26.3160357142857,26.2798214285714
"2022-01-08",27.2457797619048,27.2749880952381,26.9375416666667,26.9418869047619,26.5324345238095,26.4985238095238
"2022-01-09",27.2753869047619,27.3060476190476,27.033625,27.0379464285714,26.8282857142857,26.7903988095238
"2022-01-10",27.280630952381,27.3083988095238,27.1392023809524,27.1513869047619,27.1435595238095,27.0983630952381
"2022-01-11",27.2974345238095,27.3275595238095,27.215630952381,27.2247380952381,27.3007976190476,27.2497916666667
"2022-01-12",27.2158630952381,27.2458333333333,27.1383333333333,27.1493333333333,27.3496130952381,27.2968154761905
"2022-01-13",27.0712142857143,27.0979702380952,26.9490119047619,26.9607142857143,27.2301488095238,27.1897857142857
"2022-01-14",26.9368035714286,26.9648511904762,26.8298988095238,26.8395773809524,27.0721309523809,27.0258392857143
"2022-01-15",26.8820714285714,26.9139166666667,26.7777261904762,26.7861904761905,26.8968392857143,26.8469226190476
"2022-01-16",26.9583392857143,26.9932857142857,26.8898571428571,26.8978988095238,26.7530892857143,26.7039404761905
"2022-01-17",27.1022261904762,27.1392202380952,27.0320595238095,27.0412797619048,26.7212797619048,26.673875
"2022-01-18",27.1848452380952,27.223494047619,27.1027678571429,27.11275,26.6566130952381,26.6083095238095
"2022-01-19",27.3325476190476,27.3725595238095,27.1306011904762,27.1458452380952,26.4226964285714,26.3834464285714
"2022-01-20",27.5004642857143,27.544869047619,27.2692976190476,27.2830773809524,26.4976488095238,26.4474464285714
"2022-01-21",27.6419226190476,27.687380952381,27.3584047619048,27.3729226190476,26.6466309523809,26.6007678571429
"2022-01-22",27.7297261904762,27.7738630952381,27.329130952381,27.340630952381,26.7344464285714,26.6952797619048
"2022-01-23",27.686005952381,27.7270535714286,27.2294821428571,27.2422916666667,26.7063869047619,26.6696845238095
"2022-01-24",27.5839166666667,27.6207380952381,27.0484464285714,27.059494047619,26.6622797619048,26.6308273809524
"2022-01-25",27.4893273809524,27.5202321428571,26.8903869047619,26.8980714285714,26.5165773809524,26.4909583333333
"2022-01-26",27.4286369047619,27.4557083333333,26.8232916666667,26.8292023809524,26.5041369047619,26.4802916666667
"2022-01-27",27.4017797619048,27.4274166666667,26.6607738095238,26.6684107142857,26.2400833333333,26.2273392857143
"2022-01-28",27.4291428571429,27.4521666666667,26.6205476190476,26.629619047619,25.8607261904762,25.8490238095238
"2022-01-29",27.4549523809524,27.477994047619,26.7155059523809,26.7273273809524,25.7870476190476,25.7699821428571
"2022-01-30",27.4412738095238,27.4651785714286,26.744869047619,26.7557976190476,25.8840357142857,25.8668035714286
"2022-01-31",27.4450892857143,27.4710357142857,26.7925416666667,26.8046666666667,25.8979404761905,25.8807202380952
"2022-02-01",27.4505952380952,27.4791726190476,26.8966964285714,26.9140892857143,26.0421845238095,26.0253630952381
"2022-02-02",27.344494047619,27.3736428571429,26.9821607142857,27.0005892857143,26.2564523809524,26.2394345238095
"2022-02-03",27.1876785714286,27.2172083333333,27.1087678571429,27.1280773809524,26.4694047619048,26.4516488095238
"2022-02-04",27.0487797619048,27.078869047619,27.0935357142857,27.112244047619,26.8113928571429,26.7922857142857
"2022-02-05",26.8793273809524,26.9096785714286,26.9857738095238,27.003875,26.8709107142857,26.8487321428571
"2022-02-06",26.7873511904762,26.8169761904762,26.8916904761905,26.9105178571429,26.7985357142857,26.7754880952381
"2022-02-07",26.7642440476191,26.7934285714286,26.8378809523809,26.85825,26.7449345238095,26.7221666666667
"2022-02-08",26.7332857142857,26.7604226190476,26.7697738095238,26.7889583333333,26.6758095238095,26.6504464285714
"2022-02-09",26.7378928571429,26.7648869047619,26.7081904761905,26.7268035714286,26.6340714285714,26.6075654761905
