Package;Version
Matrix;1.7-4
methods;4.5.2
mgcv;1.9-3
nlme;3.1-168
nnet;7.3-20
parallel;4.5.2
rpart;4.1.24
spatial;7.3-18
splines;4.5.2
stats;4.5.2
stats4;4.5.2
survival;3.8-3
tcltk;4.5.2
tools;4.5.2
utils;4.5.2
